,FPR Asian,FNR Asian,FDR Asian,FOM Asian,EqualOppP Asian,EquOdds Asian,Accuracy Asian,Balanced Accuracy Asian,FPR Black,FNR Black,FDR Black,FOM Black,EqualOppP Black,EquOdds Black,Accuracy Black,Balanced Accuracy Black,FPR Hispanic,FNR Hispanic,FDR Hispanic,FOM Hispanic,EqualOppP Hispanic,EquOdds Hispanic,Accuracy Hispanic,Balanced Accuracy Hispanic,FPR White,FNR White,FDR White,FOM White,EqualOppP White,EquOdds White,Accuracy White,Balanced Accuracy White,Accuracy,Balanced Accuracy,AUC,f1,precision,recall,AP,AP Asian,AP Black,AP Hispanic,AP White,Race
0,0.0,0.0,0.0,0.0,0.1875,0.07049418604651163,1.0,1.0,0.07692307692307693,0.25,0.14285714285714285,0.14285714285714285,-0.15909090909090906,-0.051722213956256494,0.8571428571428571,0.8365384615384616,0.07692307692307693,0.0,0.14285714285714285,0.0,0.23076923076923073,0.1432078559738134,0.9473684210526315,0.9615384615384616,0.0,0.5,0.0,0.05555555555555555,-0.38235294117647056,-0.21443228454172364,0.9473684210526315,0.75,0.9367088607594937,0.9043859649122807,0.9850877192982457,0.8648648648648649,0.8888888888888888,0.8421052631578947,0.9657271862368391,1.0,0.959375,1.0,1.0,Asian
0,0.0,0.6666666666666666,0.0,0.10526315789473684,-0.5490196078431373,-0.32212885154061627,0.9,0.6666666666666666,0.0,0.1111111111111111,0.0,0.07692307692307693,0.16161616161616155,0.03825488931871907,0.9523809523809523,0.9444444444444444,0.23076923076923078,0.16666666666666666,0.375,0.09090909090909091,0.04761904761904767,0.12832457397674793,0.7894736842105263,0.8012820512820513,0.058823529411764705,0.0,0.3333333333333333,0.0,0.2222222222222222,0.10480859010270774,0.9473684210526315,0.9705882352941176,0.8987341772151899,0.8661016949152542,0.9601694915254237,0.8000000000000002,0.8,0.8,0.9118157962109577,1.0,0.9888888888888889,0.8617424242424241,1.0,Asian
0,0.0,0.3333333333333333,0.0,0.058823529411764705,-0.27450980392156865,-0.1721386228910169,0.9473684210526315,0.8333333333333333,0.08333333333333333,0.0,0.1,0.0,0.18181818181818177,0.1112991618310767,0.9523809523809523,0.9583333333333333,0.07692307692307693,0.16666666666666666,0.16666666666666666,0.07692307692307693,-0.09523809523809523,-0.03089663959229176,0.8947368421052632,0.8782051282051282,0.05555555555555555,0.0,0.3333333333333333,0.0,0.11111111111111116,0.05894308943089433,0.95,0.9722222222222222,0.9367088607594937,0.9245762711864407,0.9762711864406779,0.8780487804878048,0.8571428571428571,0.9,0.9337212526687815,0.9166666666666665,0.9467813051146385,0.9583333333333334,1.0,Asian
0,0.0,0.5,0.0,0.058823529411764705,-0.38235294117647056,-0.19117647058823528,0.9444444444444444,0.75,0.0,0.125,0.0,0.07692307692307693,0.05681818181818177,0.028409090909090884,0.95,0.9375,0.0,0.14285714285714285,0.0,0.07142857142857142,0.023809523809523725,0.011904761904761862,0.95,0.9285714285714286,0.0,0.0,0.0,0.0,0.17647058823529416,0.08823529411764708,1.0,1.0,0.9615384615384616,0.9210526315789473,0.9107939339875111,0.9142857142857143,1.0,0.8421052631578947,0.9207602339181284,0.5666666666666667,1.0,0.9126984126984126,1.0,Asian
0,0.0,0.5,0.0,0.05555555555555555,-0.4411764705882353,-0.243844049247606,0.9473684210526315,0.75,0.15384615384615385,0.125,0.2222222222222222,0.08333333333333333,-0.03409090909090906,0.0598776223776224,0.8571428571428571,0.8605769230769231,0.0,0.0,0.0,0.0,0.16666666666666663,0.06205673758865246,1.0,1.0,0.0,0.0,0.0,0.0,0.11764705882352944,0.03556771545827635,1.0,1.0,0.9493670886075949,0.9307017543859649,0.9833333333333334,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.9022624820999434,1.0,0.8227678571428572,0.9999999999999998,1.0,Asian
0,0.11764705882352941,0.6666666666666666,0.6666666666666666,0.11764705882352941,-0.5416666666666667,-0.24689352485180122,0.8,0.6078431372549019,0.0,0.125,0.0,0.07142857142857142,0.1477272727272727,0.020672147001934225,0.9523809523809523,0.9375,0.15384615384615385,0.16666666666666666,0.2857142857142857,0.08333333333333333,0.0641025641025641,0.07705946535733771,0.8421052631578947,0.8397435897435898,0.058823529411764705,0.0,0.3333333333333333,0.0,0.23529411764705888,0.10054719562243505,0.9473684210526315,0.9705882352941176,0.8860759493670886,0.8530701754385965,0.9561403508771931,0.7692307692307692,0.75,0.7894736842105263,0.8755464190913502,0.4777777777777778,1.0,0.9166666666666666,1.0,Asian
0,0.058823529411764705,0.6666666666666666,0.5,0.1111111111111111,-0.607843137254902,-0.28641456582633057,0.85,0.6372549019607843,0.0,0.1111111111111111,0.0,0.07692307692307693,0.07070707070707061,0.014076939608854453,0.9523809523809523,0.9444444444444444,0.07692307692307693,0.0,0.14285714285714285,0.0,0.2142857142857143,0.13473483038700432,0.9473684210526315,0.9615384615384616,0.0,0.0,0.0,0.0,0.16666666666666663,0.05952380952380951,1.0,1.0,0.9367088607594937,0.9080508474576271,0.9737288135593221,0.8717948717948718,0.8947368421052632,0.85,0.8690409407843619,0.6388888888888888,0.9797979797979799,0.8178571428571427,1.0,Asian
0,0.0,0.3333333333333333,0.0,0.058823529411764705,-0.21568627450980393,-0.13109895120839032,0.9473684210526315,0.8333333333333333,0.16666666666666666,0.0,0.18181818181818182,0.0,0.2727272727272727,0.21969696969696967,0.9047619047619048,0.9166666666666667,0.0,0.3333333333333333,0.0,0.13333333333333333,-0.261904761904762,-0.15269151138716358,0.8947368421052632,0.8333333333333333,0.0,0.0,0.0,0.0,0.16666666666666663,0.05894308943089429,1.0,1.0,0.9367088607594937,0.9080508474576271,0.8889830508474575,0.8717948717948718,0.8947368421052632,0.85,0.8916019120198688,0.7254901960784313,0.9674523007856342,0.8263888888888888,1.0,Asian
0,0.0,0.0,0.0,0.0,0.05882352941176472,0.017783857729138174,1.0,1.0,0.0,0.0,0.0,0.0,0.09090909090909094,0.03481624758220504,1.0,1.0,0.07692307692307693,0.14285714285714285,0.14285714285714285,0.07692307692307693,-0.1428571428571429,-0.03296703296703299,0.9,0.8901098901098901,0.0,0.0,0.0,0.0,0.05882352941176472,0.017216642754662847,1.0,1.0,0.9743589743589743,0.9652096342551293,0.952720785013381,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9431722571509926,1.0,1.0,0.9126984126984126,1.0,Asian
0,0.11764705882352941,0.0,0.5,0.0,0.11764705882352944,0.10601915184678523,0.8947368421052632,0.9411764705882353,0.07692307692307693,0.125,0.125,0.07692307692307693,-0.03409090909090906,0.0001394881714030828,0.9047619047619048,0.8990384615384616,0.0,0.14285714285714285,0.0,0.07142857142857142,-0.059523809523809534,-0.06167679837892604,0.95,0.9285714285714286,0.0,0.0,0.0,0.0,0.11764705882352944,0.02393980848153216,1.0,1.0,0.9367088607594937,0.9223684210526315,0.9500000000000001,0.8717948717948718,0.85,0.8947368421052632,0.9305192066103536,0.75,0.9861111111111112,0.9126984126984126,1.0,Asian
